iter	Passed	Remaining
0	53	106149
1	113	113570
2	167	111735
3	219	109486
4	276	110373
5	330	109873
6	389	111022
7	444	110572
8	500	110806
9	557	110977
10	613	111003
11	675	111927
12	734	112281
13	857	121577
14	920	121773
15	987	122429
16	1055	123095
17	1135	125071
18	1204	125616
19	1264	125160
20	1323	124767
21	1389	124893
22	1459	125439
23	1521	125236
24	1579	124767
25	1642	124676
26	1732	126606
27	1787	125865
28	1847	125560
29	1938	127268
30	1996	126804
31	2053	126272
32	2116	126147
33	2175	125786
34	2236	125553
35	2307	125880
36	2367	125618
37	2433	125655
38	2492	125347
39	2558	125368
40	2628	125594
41	2693	125550
42	2752	125251
43	2812	125011
44	2870	124728
45	2932	124561
46	3063	127289
47	3121	126945
48	3184	126809
49	3239	126336
50	3297	126013
51	3357	125771
52	3420	125647
53	3481	125454
54	3542	125260
55	3599	124947
56	3664	124918
57	3728	124836
58	3795	124872
59	3858	124762
60	3951	125609
61	4011	125380
62	4076	125337
63	4164	125989
64	4224	125762
65	4286	125595
66	4342	125297
67	4399	124991
68	4460	124818
69	4525	124775
70	4588	124661
71	4652	124586
72	4714	124455
73	4777	124349
74	4862	124810
75	4925	124681
76	4982	124435
77	5041	124219
78	5100	124014
79	5170	124089
80	5291	125358
81	5355	125274
82	5421	125225
83	5480	125004
84	5541	124843
85	5604	124724
86	5662	124509
87	5719	124279
88	5777	124051
89	5836	123868
90	5894	123651
91	5961	123640
92	6018	123414
93	6076	123207
94	6159	123519
95	6223	123432
96	6282	123249
97	6348	123217
98	6405	123003
99	6467	122879
100	6525	122697
101	6592	122667
102	6650	122489
103	6709	122315
104	6766	122122
105	6827	121989
106	6890	121905
107	6958	121909
108	7026	121896
109	7085	121733
110	7148	121645
111	7209	121531
112	7270	121409
113	7330	121270
114	7393	121187
115	7503	121871
116	7565	121751
117	7624	121611
118	7684	121472
119	7749	121404
120	7809	121266
121	7873	121194
122	7935	121090
123	7995	120964
124	8056	120853
125	8117	120736
126	8179	120638
127	8237	120466
128	8297	120351
129	8376	120489
130	8441	120432
131	8519	120568
132	8589	120571
133	8656	120539
134	8710	120338
135	8766	120150
136	8824	119997
137	8887	119912
138	8947	119788
139	9014	119762
140	9087	119818
141	9154	119783
142	9226	119811
143	9285	119677
144	9344	119544
145	9403	119409
146	9463	119289
147	9531	119273
148	9597	119230
149	9689	119506
150	9748	119366
151	9811	119288
152	9875	119216
153	9935	119092
154	9993	118950
155	10055	118856
156	10113	118725
157	10176	118642
158	10236	118530
159	10297	118425
160	10359	118330
161	10419	118220
162	10478	118091
163	10559	118210
164	10625	118171
165	10687	118074
166	10763	118139
167	10825	118046
168	10883	117918
169	10951	117893
170	11035	118038
171	11104	118015
172	11168	117941
173	11230	117858
174	11290	117744
175	11349	117620
176	11405	117469
177	11466	117371
178	11526	117264
179	11588	117169
180	11647	117058
181	11705	116923
182	11762	116791
183	11871	117163
184	11933	117079
185	11994	116976
186	12055	116876
187	12108	116701
188	12169	116611
189	12227	116479
190	12286	116367
191	12348	116281
192	12407	116167
193	12466	116058
194	12527	115959
195	12586	115847
196	12645	115735
197	12707	115654
198	12793	115780
199	12856	115709
200	12936	115787
201	12991	115638
202	13053	115550
203	13113	115452
204	13174	115355
205	13237	115285
206	13298	115188
207	13358	115085
208	13419	114996
209	13465	114774
210	13528	114703
211	13588	114601
212	13652	114538
213	13711	114434
214	13774	114358
215	13832	114246
216	13895	114171
217	13957	114089
218	14020	114021
219	14110	114166
220	14169	114060
221	14231	113979
222	14286	113841
223	14346	113747
224	14405	113645
225	14465	113549
226	14524	113443
227	14580	113316
228	14638	113205
229	14701	113137
230	14771	113123
231	14833	113041
232	14890	112925
233	14968	112967
234	15028	112871
235	15090	112796
236	15182	112940
237	15243	112850
238	15277	112571
239	15333	112442
240	15396	112378
241	15455	112274
242	15516	112193
243	15575	112095
244	15637	112014
245	15697	111925
246	15757	111834
247	15803	111642
248	15863	111551
249	15926	111487
250	15986	111398
251	16048	111321
252	16110	111244
253	16175	111190
254	16239	111129
255	16343	111338
256	16403	111251
257	16461	111147
258	16521	111054
259	16582	110974
260	16641	110882
261	16699	110777
262	16772	110778
263	16840	110740
264	16897	110632
265	16959	110553
266	17017	110452
267	17075	110354
268	17138	110283
269	17240	110468
270	17312	110452
271	17417	110650
272	17481	110585
273	17542	110503
274	17604	110430
275	17665	110346
276	17726	110263
277	17787	110180
278	17850	110110
279	17886	109877
280	17947	109791
281	18006	109699
282	18066	109613
283	18132	109559
284	18195	109489
285	18253	109391
286	18313	109305
287	18372	109214
288	18432	109128
289	18551	109391
290	18612	109305
291	18669	109206
292	18728	109113
293	18788	109024
294	18847	108934
295	18910	108864
296	18967	108762
297	19030	108688
298	19090	108603
299	19149	108515
300	19206	108414
301	19268	108339
302	19337	108305
303	19420	108346
304	19481	108264
305	19561	108290
306	19618	108186
307	19678	108104
308	19735	108004
309	19796	107921
310	19856	107840
311	19918	107762
312	19979	107682
313	20038	107593
314	20095	107497
315	20154	107405
316	20214	107319
317	20269	107213
318	20329	107130
319	20388	107038
320	20445	106939
321	20507	106865
322	20568	106788
323	20624	106689
324	20706	106715
325	20775	106683
326	20836	106601
327	20900	106540
328	20974	106530
329	21055	106551
330	21121	106502
331	21180	106410
332	21237	106315
333	21295	106221
334	21343	106080
335	21419	106075
336	21492	106059
337	21568	106054
338	21648	106073
339	21710	105999
340	21791	106016
341	21853	105943
342	21913	105859
343	21973	105780
344	22040	105731
345	22099	105642
346	22161	105568
347	22220	105482
348	22279	105399
349	22340	105320
350	22405	105260
351	22468	105192
352	22526	105100
353	22589	105036
354	22650	104959
355	22709	104873
356	22767	104782
357	22824	104685
358	22899	104672
359	23006	104807
360	23064	104716
361	23122	104624
362	23182	104544
363	23243	104467
364	23305	104394
365	23364	104311
366	23427	104244
367	23484	104149
368	23541	104055
369	23596	103953
370	23655	103866
371	23711	103770
372	23766	103669
373	23856	103719
374	23920	103657
375	24010	103703
376	24069	103620
377	24130	103543
378	24190	103464
379	24249	103378
380	24309	103297
381	24368	103215
382	24425	103124
383	24490	103065
384	24553	102999
385	24611	102909
386	24678	102859
387	24737	102774
388	24796	102690
389	24854	102602
390	24915	102527
391	24971	102434
392	25033	102361
393	25131	102439
394	25206	102422
395	25266	102341
396	25324	102255
397	25379	102156
398	25439	102075
399	25499	101996
400	25556	101908
401	25613	101816
402	25671	101730
403	25735	101667
404	25797	101598
405	25857	101521
406	25914	101430
407	25977	101363
408	26057	101361
409	26121	101301
410	26208	101328
411	26268	101249
412	26329	101172
413	26388	101090
414	26450	101023
415	26510	100942
416	26570	100866
417	26630	100788
418	26689	100706
419	26751	100635
420	26813	100564
421	26871	100480
422	26935	100417
423	27000	100358
424	27058	100277
425	27119	100203
426	27181	100133
427	27239	100048
428	27304	99990
429	27404	100057
430	27470	100002
431	27537	99949
432	27594	99863
433	27653	99781
434	27713	99704
435	27774	99630
436	27834	99555
437	27893	99473
438	27954	99402
439	28017	99335
440	28076	99256
441	28140	99190
442	28209	99147
443	28297	99169
444	28400	99240
445	28470	99199
446	28537	99147
447	28595	99061
448	28653	98977
449	28712	98898
450	28768	98807
451	28825	98721
452	28884	98642
453	28950	98584
454	29010	98507
455	29068	98424
456	29128	98347
457	29185	98260
458	29267	98259
459	29326	98181
460	29387	98106
461	29448	98032
462	29520	97996
463	29668	98211
464	29742	98181
465	29801	98100
466	29861	98025
467	29923	97954
468	29981	97872
469	30042	97799
470	30107	97737
471	30165	97654
472	30223	97572
473	30283	97494
474	30343	97420
